symbol,exchange,company_name,isin,face_value,status,group,instrument,listing_date,market_lot,paid_up_value,security_code
20MICRONS,NSE,20 Microns Limited,INE144J01027,5,Active,,EQ,06-OCT-2008,1,5,
21STCENMGM,NSE,21st Century Management Services Limited,INE253B01015,10,Active,,EQ,03-MAY-1995,1,10,
360ONE,NSE,360 ONE WAM LIMITED,INE466L01038,1,Active,,EQ,19-SEP-2019,1,1,
3IINFOLTD,NSE,3i Infotech Limited,INE748C01038,10,Active,,EQ,22-OCT-2021,1,10,
3MINDIA,NSE,3M India Limited,INE470A01017,10,Active,,EQ,13-AUG-2004,1,10,
3PLAND,NSE,3P Land Holdings Limited,INE105C01023,2,Active,,EQ,19-JUL-1995,1,2,
5PAISA,NSE,5Paisa Capital Limited,INE618L01018,10,Active,,EQ,16-NOV-2017,1,10,
63MOONS,NSE,63 moons technologies limited,INE111B01023,2,Active,,EQ,20-JUN-2005,1,2,
A2ZINFRA,NSE,A2Z Infra Engineering Limited,INE619I01012,10,Active,,EQ,23-DEC-2010,1,10,
AAATECH,NSE,AAA Technologies Limited,INE0D0U01013,10,Active,,BE,28-NOV-2022,1,10,
AADHARHFC,NSE,Aadhar Housing Finance Limited,INE883F01010,10,Active,,EQ,15-MAY-2024,1,10,
AAKASH,NSE,Aakash Exploration Services Limited,INE087Z01024,1,Active,,EQ,29-SEP-2020,1,1,
AAREYDRUGS,NSE,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,10,Active,,BE,06-AUG-2021,1,10,
AARON,NSE,Aaron Industries Limited,INE721Z01010,10,Active,,EQ,06-NOV-2020,1,10,
AARTECH,NSE,Aartech Solonics Limited,INE01C001026,5,Active,,EQ,10-JUL-2023,1,5,
AARTIDRUGS,NSE,Aarti Drugs Limited,INE767A01016,10,Active,,EQ,19-SEP-2003,1,10,
AARTIIND,NSE,Aarti Industries Limited,INE769A01020,5,Active,,EQ,08-FEB-1995,1,5,
AARTIPHARM,NSE,Aarti Pharmalabs Limited,INE0LRU01027,5,Active,,EQ,30-JAN-2023,1,5,
AARTISURF,NSE,Aarti Surfactants Limited,INE09EO01013,10,Active,,EQ,14-JUL-2020,1,10,
AARVI,NSE,Aarvi Encon Limited,INE754X01016,10,Active,,EQ,24-JUN-2020,1,10,
AAVAS,NSE,Aavas Financiers Limited,INE216P01012,10,Active,,EQ,08-OCT-2018,1,10,
ABAN,NSE,Aban Offshore Limited,INE421A01028,2,Active,,BE,29-MAR-1995,1,2,
ABB,NSE,ABB India Limited,INE117A01022,2,Active,,EQ,08-FEB-1995,1,2,
ABBOTINDIA,NSE,Abbott India Limited,INE358A01014,10,Active,,EQ,08-JAN-2010,1,10,
ABCAPITAL,NSE,Aditya Birla Capital Limited,INE674K01013,10,Active,,EQ,01-SEP-2017,1,10,
ABCOTS,NSE,A B Cotspin India Limited,INE08PH01015,10,Active,,EQ,24-SEP-2025,1,10,
ABDL,NSE,Allied Blenders and Distillers Limited,INE552Z01027,2,Active,,EQ,02-JUL-2024,1,2,
ABFRL,NSE,Aditya Birla Fashion and Retail Limited,INE647O01011,10,Active,,EQ,17-JUL-2013,1,10,
ABINFRA,NSE,A B Infrabuild Limited,INE00YB01025,1,Active,,EQ,08-NOV-2024,1,1,
ABLBL,NSE,Aditya Birla Lifestyle Brands Limited,INE14LE01019,10,Active,,EQ,23-JUN-2025,1,10,
ABMINTLLTD,NSE,ABM International Limited,INE251C01025,10,Active,,EQ,09-SEP-2021,1,10,
ABREL,NSE,Aditya Birla Real Estate Limited,INE055A01016,10,Active,,EQ,27-JUN-2003,1,10,
ABSLAMC,NSE,Aditya Birla Sun Life AMC Limited,INE404A01024,5,Active,,EQ,11-OCT-2021,1,5,
ACC,NSE,ACC Limited,INE012A01025,10,Active,,EQ,20-NOV-1996,1,10,
ACCELYA,NSE,Accelya Solutions India Limited,INE793A01012,10,Active,,EQ,01-DEC-1999,1,10,
ACCURACY,NSE,Accuracy Shipping Limited,INE648Z01023,1,Active,,EQ,11-DEC-2020,1,1,
ACE,NSE,Action Construction Equipment Limited,INE731H01025,2,Active,,EQ,26-SEP-2006,1,2,
ACEINTEG,NSE,Ace Integrated Solutions Limited,INE543V01017,10,Active,,EQ,04-NOV-2022,1,10,
ACI,NSE,Archean Chemical Industries Limited,INE128X01021,2,Active,,EQ,21-NOV-2022,1,2,
ACL,NSE,Andhra Cements Limited,INE666E01020,10,Active,,EQ,10-MAY-2023,1,10,
ACMESOLAR,NSE,Acme Solar Holdings Limited,INE622W01025,2,Active,,EQ,13-NOV-2024,1,2,
ACUTAAS,NSE,Acutaas Chemicals Limited,INE00FF01025,5,Active,,EQ,14-SEP-2021,1,5,
ADANI-RE,NSE,Adani Enterprises Limited-RE,INE423A20016,1,Active,,BE,25-NOV-2025,1,1,
ADANIENSOL,NSE,Adani Energy Solutions Limited,INE931S01010,10,Active,,EQ,31-JUL-2015,1,10,
ADANIENT,NSE,Adani Enterprises Limited,INE423A01024,1,Active,,EQ,04-JUN-1997,1,1,
ADANIGREEN,NSE,Adani Green Energy Limited,INE364U01010,10,Active,,EQ,18-JUN-2018,1,10,
ADANIPORTS,NSE,Adani Ports and Special Economic Zone Limited,INE742F01042,2,Active,,EQ,27-NOV-2007,1,2,
ADANIPOWER,NSE,Adani Power Limited,INE814H01029,2,Active,,EQ,20-AUG-2009,1,2,
ADFFOODS,NSE,ADF Foods Limited,INE982B01027,2,Active,,EQ,15-SEP-2010,1,2,
ADL,NSE,Archidply Decor Limited,INE0CHO01012,10,Active,,EQ,01-OCT-2020,1,10,
ADOR,NSE,Ador Welding Limited,INE045A01017,10,Active,,EQ,10-MAY-1995,1,10,
ADROITINFO,NSE,Adroit Infotech Limited,INE737B01033,10,Active,,EQ,13-AUG-1997,1,10,
ADSL,NSE,Allied Digital Services Limited,INE102I01027,5,Active,,EQ,25-JUL-2007,1,5,
ADVANCE,NSE,Advance Agrolife Limited,INE1B0W01010,10,Active,,EQ,08-OCT-2025,1,10,
ADVANIHOTR,NSE,Advani Hotels & Resorts (India) Limited,INE199C01026,2,Active,,EQ,25-JUN-2007,1,2,
ADVENTHTL,NSE,Advent Hotels International Limited,INE28GN01010,10,Active,,EQ,13-NOV-2025,1,10,
ADVENZYMES,NSE,Advanced Enzyme Technologies Limited,INE837H01020,2,Active,,EQ,01-AUG-2016,1,2,
AEGISLOG,NSE,Aegis Logistics Limited,INE208C01025,1,Active,,EQ,03-APR-1996,1,1,
AEGISVOPAK,NSE,Aegis Vopak Terminals Limited,INE0INX01018,10,Active,,EQ,02-JUN-2025,1,10,
AEROENTER,NSE,Aeroflex Enterprises Limited,INE065D01027,2,Active,,EQ,21-NOV-2022,1,2,
AEROFLEX,NSE,Aeroflex Industries Limited,INE024001021,2,Active,,EQ,31-AUG-2023,1,2,
AERONEU,NSE,Aeroflex Neu Limited,INE035801013,10,Active,,EQ,12-JAN-2023,1,10,
AETHER,NSE,Aether Industries Limited,INE0BWX01014,10,Active,,EQ,03-JUN-2022,1,10,
AFCONS,NSE,Afcons Infrastructure Limited,INE101I01011,10,Active,,EQ,04-NOV-2024,1,10,
AFFLE,NSE,Affle 3i Limited,INE00WC01027,2,Active,,EQ,08-AUG-2019,1,2,
AFFORDABLE,NSE,Affordable Robotic & Automation Limited,INE692Z01013,10,Active,,EQ,23-OCT-2024,1,10,
AFIL,NSE,Akme Fintrade (India) Limited,INE916Y01027,1,Active,,EQ,26-JUN-2024,1,1,
AFSL,NSE,Abans Financial Services Limited,INE00ZE01026,2,Active,,EQ,23-DEC-2022,1,2,
AGARIND,NSE,Agarwal Industrial Corporation Limited,INE204E01012,10,Active,,EQ,26-MAY-2014,1,10,
AGARWALEYE,NSE,Dr. Agarwal's Health Care Limited,INE943P01029,1,Active,,EQ,04-FEB-2025,1,1,
AGI,NSE,AGI Greenpac Limited,INE415A01038,2,Active,,EQ,31-MAY-2000,1,2,
AGIIL,NSE,Agi Infra Limited,INE976R01033,1,Active,,EQ,15-JUL-2024,1,1,
AGRITECH,NSE,Agri-Tech (India) Limited,INE449G01018,10,Active,,EQ,28-JAN-2014,1,10,
AGROPHOS,NSE,Agro Phos India Limited,INE740V01019,10,Active,,EQ,08-MAR-2019,1,10,
AGSTRA,NSE,AGS Transact Technologies Limited,INE583L01014,10,Active,,BZ,31-JAN-2022,1,10,
AHCL,NSE,Anlon Healthcare Limited,INE0Y8W01017,10,Active,,BE,03-SEP-2025,1,10,
AHLADA,NSE,Ahlada Engineers Limited,INE00PV01013,10,Active,,EQ,28-JAN-2021,1,10,
AHLEAST,NSE,Asian Hotels (East) Limited,INE926K01017,10,Active,,EQ,11-AUG-2010,1,10,
AHLUCONT,NSE,Ahluwalia Contracts (India) Limited,INE758C01029,2,Active,,EQ,14-DEC-2009,1,2,
AIAENG,NSE,AIA Engineering Limited,INE212H01026,2,Active,,EQ,14-DEC-2005,1,2,
AIIL,NSE,Authum Investment & Infrastructure Limited,INE206F01022,1,Active,,EQ,23-APR-2024,1,1,
AIRAN,NSE,Airan Limited,INE645W01026,2,Active,,EQ,03-MAY-2019,1,2,
AIROLAM,NSE,Airo Lam limited,INE801L01010,10,Active,,EQ,13-OCT-2021,1,10,
AJANTPHARM,NSE,Ajanta Pharma Limited,INE031B01049,2,Active,,EQ,29-MAY-2000,1,2,
AJAXENGG,NSE,Ajax Engineering Limited,INE274Y01021,1,Active,,EQ,17-FEB-2025,1,1,
AJMERA,NSE,Ajmera Realty & Infra India Limited,INE298G01027,10,Active,,EQ,16-JUN-2009,1,10,
